Date,Actual_Price,Predicted_Price,Abs_Error,Pct_Error,Directional_Error,Is_Outlier,Outlier_Type
2015-04-04,253.70000000000002,270.54767,16.847668457031233,6.640783782826658,-16.847668457031233,False,Normal
2015-04-05,260.54,273.08475,12.544747314453105,4.814902630864014,-12.544747314453105,False,Normal
2015-04-06,255.58,277.07755,21.497545166015612,8.411278333991554,-21.497545166015612,False,Normal
2015-04-07,253.72,279.33032,25.610322265625,10.09393120984747,-25.610322265625,False,Normal
2015-04-08,244.58,280.44827,35.86827270507811,14.665251739749003,-35.86827270507811,False,Normal
2015-04-09,243.43,278.58105,35.15105468749999,14.43990251304276,-35.15105468749999,False,Normal
2015-04-10,235.99,275.99973,40.009725341796866,16.953991839398647,-40.009725341796866,False,Normal
2015-04-11,236.15,271.44843,35.298425292968744,14.947459366067644,-35.298425292968744,False,Normal
2015-04-12,236.5,267.20462,30.704620361328125,12.982926157009778,-30.704620361328125,False,Normal
2015-04-13,223.15,263.66614,40.516137695312494,18.15645874761931,-40.516137695312494,False,Normal
2015-04-14,215.8,257.37662,41.576617431640614,19.266273137924287,-41.576617431640614,False,Normal
2015-04-15,222.87999999999997,249.89539,27.015385742187533,12.12104528992621,-27.015385742187533,False,Normal
2015-04-16,227.5,245.30283,17.802825927734375,7.8254179902129115,-17.802825927734375,False,Normal
2015-04-17,222.6,243.27806,20.678060913085943,9.289335540469876,-20.678060913085943,False,Normal
2015-04-18,223.4,241.18019,17.780191040039057,7.958903777994205,-17.780191040039057,False,Normal
2015-04-19,222.54,240.12836,17.588356933593758,7.903458674213066,-17.588356933593758,False,Normal
2015-04-20,224.3,239.53285,15.232852172851551,6.791284963375635,-15.232852172851551,False,Normal
2015-04-21,235.74,239.89893,4.158925781249991,1.7642002974675453,-4.158925781249991,False,Normal
2015-04-22,233.45,243.63881,10.188809204101574,4.364450290898083,-10.188809204101574,False,Normal
2015-04-23,235.98,247.00543,11.02543212890626,4.672189223199534,-11.02543212890626,False,Normal
2015-04-24,230.24,250.77979,20.53978515624999,8.921032468836861,-20.53978515624999,False,Normal
2015-04-25,226.12,252.58437,26.464365844726558,11.703682047022182,-26.464365844726558,False,Normal
2015-04-26,219.52,252.68073,33.16072509765624,15.10601544171658,-33.16072509765624,False,Normal
2015-04-27,227.23,250.5476,23.31760742187501,10.261676460799634,-23.31760742187501,False,Normal
2015-04-28,225.16,250.18689,25.026889648437503,11.115157953649629,-25.026889648437503,False,Normal
2015-04-29,225.48,249.41547,23.93546630859376,10.615338969573248,-23.93546630859376,False,Normal
2015-04-30,236.2,248.82933,12.629330444335949,5.346879951031308,-12.629330444335949,False,Normal
2015-05-01,231.0,251.18341,20.18341064453125,8.737407205424784,-20.18341064453125,False,Normal
2015-05-02,233.83,252.30994,18.479936523437487,7.903150375673561,-18.479936523437487,False,Normal
2015-05-03,239.0,253.96777,14.9677734375,6.262666710251046,-14.9677734375,False,Normal
2015-05-04,238.34,256.7463,18.40630737304687,7.722710150644824,-18.40630737304687,False,Normal
2015-05-05,235.12,259.05234,23.93233764648437,10.178775793843302,-23.93233764648437,False,Normal
2015-05-06,228.49,260.0423,31.55229736328124,13.809049570344978,-31.55229736328124,False,Normal
2015-05-07,236.87,258.779,21.908991699218745,9.249373791201396,-21.908991699218745,False,Normal
2015-05-08,243.2,259.33542,16.135418701171886,6.634629400152914,-16.135418701171886,False,Normal
2015-05-09,241.96,261.50885,19.548850097656242,8.079372663934635,-19.548850097656242,False,Normal
2015-05-10,239.12999999999997,263.26816,24.138157958984408,10.094157135861002,-24.138157958984408,False,Normal
2015-05-11,241.3,263.97266,22.67265624999999,9.396044861168665,-22.67265624999999,False,Normal
2015-05-12,241.02999999999997,264.87308,23.843077392578152,9.892161719527923,-23.843077392578152,False,Normal
2015-05-13,235.97,265.4231,29.453095703125,12.481711956233845,-29.453095703125,False,Normal
2015-05-14,237.13,264.3863,27.256291503906255,11.494240080928712,-27.256291503906255,False,Normal
2015-05-15,237.37,263.44443,26.07442749023437,10.984718999972351,-26.07442749023437,False,Normal
2015-05-16,235.65999999999997,262.56055,26.900546875000032,11.414982124671152,-26.900546875000032,False,Normal
2015-05-17,235.97,261.31625,25.346253662109376,10.741303412344525,-25.346253662109376,False,Normal
2015-05-18,232.87,260.27957,27.40957153320312,11.77033174440809,-27.40957153320312,False,Normal
2015-05-19,231.4,258.6161,27.216088867187494,11.761490435258208,-27.216088867187494,False,Normal
2015-05-20,234.43,256.76282,22.332817382812493,9.526433213672522,-22.332817382812493,False,Normal
2015-05-21,235.00000000000003,255.981,20.98100280761716,8.928086301113684,-20.98100280761716,False,Normal
2015-05-22,238.99,255.69753,16.707525024414053,6.9908887503301615,-16.707525024414053,False,Normal
2015-05-23,237.76,256.73016,18.97016357421876,7.978702714594027,-18.97016357421876,False,Normal
2015-05-24,239.22,257.61642,18.396424560546876,7.690169952573729,-18.396424560546876,False,Normal
2015-05-25,235.59,258.86902,23.279018554687497,9.88115733039921,-23.279018554687497,False,Normal
2015-05-26,235.71,259.07077,23.360770263671867,9.91081000537604,-23.360770263671867,False,Normal
2015-05-27,235.17,259.12512,23.955122070312513,10.186300153213638,-23.955122070312513,False,Normal
2015-05-28,236.46000000000004,258.93643,22.47643188476559,9.505384371464766,-22.47643188476559,False,Normal
2015-05-29,236.03,259.04108,23.01107666015625,9.749216904696965,-23.01107666015625,False,Normal
2015-05-30,232.11000000000004,259.03882,26.928818359374958,11.601748463821012,-26.928818359374958,False,Normal
2015-05-31,228.91,257.9992,29.089206542968753,12.707704575146895,-29.089206542968753,False,Normal
2015-06-01,223.51,256.1092,32.59919189453126,14.585115607593066,-32.59919189453126,False,Normal
2015-06-02,225.18,252.90494,27.724937744140618,12.312344677209618,-27.724937744140618,False,Normal
2015-06-03,224.27,250.39162,26.121616821289052,11.647396807994404,-26.121616821289052,False,Normal
2015-06-04,222.99,248.12288,25.132879028320303,11.270854759549891,-25.132879028320303,False,Normal
2015-06-05,224.4,246.03859,21.638589477539057,9.642865186069098,-21.638589477539057,False,Normal
